"1","Affirmative"
"2","Negative"
"3","Roger."
"4","I gotcha. Hold still."
"5","Attack my target"
"6","I need help!"
"7","Ripcording!"
"8","I'm on it."
"9","On my way."
"0","Oops, wrong voice chat..."
"q","Is the aleph mined?"
"w","The aleph is mined!"
"e","The aleph is mined and droned!"
"Aa","Attack!"
"Ab","Attack base."
"Ac","Attack constructor."
"Ad","Attack defenders."
"Ae","Attack nanites!"
"Af","Attack fighters."
"Ai","Attack interceptors."
"Aj","Attack special mines!"
"Al","Attack capital ship."
"Am","Attack miners."
"An","Attack minefield!"
"Ao","Attack bombers."
"Ap","Attack their probes!"
"Aq","Attack rescue probe!"
"Ar","Attack teleport (ripcord)."
"As","Attack stealths."
"At","Attack transport."
"Au","Attack scouts."
"Aw","Attack towers."
"Cb","Head back to base!"
"Cc","Capturing base, get ready to launch!"
"Ce","Retreat!"
"Cf","Get them off of me!"
"Cg","Go Go Go!"
"Ch","Go miner hunting."
"Ci","Pickup lifepod!"
"Cl","Lay low and go for constructors."
"Cm","Stay out of the middle aleph!"
"Cn","Don't forget to take along your rescue probes!"
"Co","I gotcha. Hold still."
"Cp","Deploy probes"
"Cq","Our station needs repairs!"
"Cr","Ripcord home."
"Ct","Repair the station."
"Cu","Donate me your credits!"
"Cy","Yo, go find their crib."
"Cz","Pickup tech!"
"Db","Defend base."
"Dc","Defend constructor."
"Dd","Defend!"
"De","Escort builder!"
"Df","Defend fighters."
"Di","Defend interceptors."
"Dj","Defend special mines!"
"Dl","Defend capital ship."
"Dm","Defend miners."
"Dn","Escort miner!"
"Do","Defend bombers."
"Dp","All pilots defend our base!"
"Dr","Defend teleport (ripcord)."
"Ds","Defend stealths."
"Dt","Defend transport."
"Du","Defend scouts."
"Dv","Defend towers."
"Dz","Transport outbound, please escort"
"D1","Don't defend, it's dead."
"D2","Need more help on defense!"
"D3","Defend our miners. They're getting hammered."
"Fc","Find carbonaceous asteroid."
"Fs","Find silicon asteroid."
"Fu","Find uranium asteroid."
"Fa","Find alephs."
"Fe","Find enemy."
"Fh","Find helium asteroid."
"Fi","Find their assault ship!"
"Fm","Find their miners."
"Fo","Find enemy scout."
"Fp","Find their probes."
"Ft","Find their constructors."
"Fy","Find cash."
"F1","Found enemy constructor. Request assistance."
"F2","Found enemy miners. Request assistance."
"F3","Found enemy ships!"
"F4","Found Aleph"
"F5","Found their base."
"F6","Found helium"
"Gc","We have a clueless commander... mutiny!"
"Gd","Sorry ya'll, my ISP dropped me."
"Ge","Hey maybe you haven't been keeping up on current events..."
"Gj","We have a traitor in our midst."
"Gh","Hey, wassup?"
"Gk","Don't kill pods!"
"Gn","I'm new, and I'm clueless."
"Gp","Gotta take a pitstop... hold up."
"Gq","I quit!"
"Gs","Please stop spamming."
"Gt","Go to team-only comms."
"Gx","It's all good."
"Gy","Ya'll come back now."
"G1","Donate your money to the investor!"
"Inc","Inbound enemy cap ship!"
"Int","Inbound enemy transport!"
"Inb","Inbound enemy bomber!"
"Inf","Inbound enemy fighters!"
"Ii","Inbound"
"I1","They don't see me."
"I2","Oh they see me... I've been spotted."
"I3","I need turret gunners NOW!"
"I4","I'll be on your turret in a few seconds."
"Ie","They are pursuing Expansion."
"Is","They are pursuing Supremacy."
"It","They are pursuing Tactical."
"Ib","Base captured!"
"Ic","Constructor launching now."
"Id","The aleph is mined and droned!"
"Ie","They are pursuing Expansion."
