"1","Affirmative"
"2","Negative"
"3","Shhhooot!"
"4","Yee-haaaaaw!"
"5","Attack my target"
"6","I need help!"
"7","Donate your money to the investor!"
"8","I need turret gunners NOW!"
"9","I'll be on your turret in a few seconds."
"0","Oops, wrong voice chat...."
"Aa","Need more pilots on offense!"
"Ab","Attack base."
"Ac","Attack constructor."
"Af","Attack fighters."
"Ai","Attack Interceptors."
"Al","Attack capital ship."
"Am","Attack miners."
"Ao","Attack bombers."
"Ar","Attack teleport (ripcord)."
"As","Attack Stealths."
"At","Attack transport."
"Au","Attack scouts."
"Av","Attack towers."
"An","Attack minefield!"
"Ae","Attack nanites!"
"Ag","Attack rescue probe!"
"Ah","Attack special mines!"
"Ap","Attack their probes!"
"Ca","We need a scout to find the alephs."
"Cb","Found enemy constructor.  Request assistance."
"Cc","Constructor launching now."
"Cf","Yo, go find their crib."
"Cg","Go Go Go!"
"Ch","Go miner hunting."
"Ci","Stay together."
"Cj","Ripcord home."
"Cl","Lay low and go for constructors."
"Cm","Found enemy miners.  Request assistance."
"Co","Our base is under attack.   Request assistance."
"Cp","Deploy probes"
"Cq","Wait for signal."
"Cr","Retreat!"
"Ct","Deploy mines."
"Cu","Repair the station."
"Cx","Follow me."
"Cy","Stay on target."
"Cs","I gotcha.  Hold still."
"Ce","Capturing base, get ready to launch!"
"Ck","Don't forget to take along your rescue probes!"
"Cn","Don't kill pods!"
"Cv","Get off my turrets man!"
"Cw","Stay out of the middle aleph!"
"Cz","Pickup tech!"
"Dd","Need more help on defense!"
"Db","Defend base."
"Dc","Defend constructor."
"Df","Defend fighters."
"Di","Defend Interceptors."
"Dl","Defend capital ship."
"Dm","Defend miners."
"Do","Defend bombers."
"Dr","Defend teleport (ripcord)."
"Ds","Defend Stealths."
"Dt","Defend transport."
"Du","Defend scouts."
"Dv","Defend towers."
"Dw","Need nanites on the constructor!"
"Da","Defend special mines!"
"De","Defenders, stay close to base!"
"Dj","Don't defend, it's dead."
"D1","Inbound enemy bomber!"
"D2","Inbound enemy cap ship!"
"D3","Inbound enemy fighters!"
"D4","Inbound enemy transport!"
"Fa","Find alephs."
"Fc","Find carbonaceous asteroid."
"Fe","Find enemy."
"Fh","Find helium asteroid."
"Fm","Find their miners."
"Fs","Find silicon asteroid."
"Fu","Find uranium asteroid."
"Fp","Find their probes."
"Fb","Find cash."
"Fd","Find enemy scout."
"Fg","Find their assault ship!"
"Ff","Find their constructors."
"Ga","Steady tiger."
"Gb","Real life wants me."
"Gc","Make me commander."
"Gd","Sorry ya'll, my ISP dropped me."
"Ge","Everybody ready?"
"Gf","What are you saving up for?"
"Gg","Start the game already?"
"Gh","Did you copy?"
"Gi","It'll be a couple more minutes."
"Gj","Just a sec...waiting for a couple more people."
"Gk","So, nice weather..how's the youngens? Let's play this thing!"
"Gl","Who wants to be commander?"
"Gm","Change the map."
"Gn","I'm new, and I'm clueless."
"Go","It's late ... gotta go. Night ya'll."
"Gp","Gotta take a pitstop...hold up."
"Gr","Great game. How about a rematch?"
"Gs","Settings have changed."
"Gt","Go to team-only comms."
"Gv","Shall we begin?"
"Gw","Check your wing assignment."
"Gx","It's all good."
"Gy","Ya'll come back now."
"Gz","Danger."
"Gq","I quit!"
"Gu","Heh, heh, heh..."
"G1","Can we pick teams?"
"G2","Even up, or I'll even it up."
"G3","Hello?"
"G4","Settings suck!"
"G5","Please stop spamming."
"G6","Yo! Wake up! You there?"
"G7","We have a clueless commander...mutiny!"
"G8","Donate me your credits!"
"Na","Need Ammo!"
"Nb","Need base."
"Nc","Need constructor."
"Ne","Need better fighters."
"Nf","Need fighters."
"Ng","Need fuel."
"Nh","Need fighter support."
"Ni","Need Interceptors."
"Nj","Need objective."
"Nl","Need capital ship."
"Nm","Need miners."
"Np","Need pickup."
"No","Need bombers."
"Nr","Need ripcord."
"Ns","Need Stealths."
"Nt","Need transport."
"Nu","Need scouts."
"Nv","Need towers."
"Nw","Need better weapons."
"Nx","Need repairs."
"Ny","Need money."
"Nk","Need rescue probe!"
"Nn","Need someone to pickup pods."
"Nq","Need some mines."
"Nz","Need a teleport scout!"
"Ra","Acknowledged!"
"Rc","Cool."
"Rf","Fiesty!"
"Rd","I don't have enough money."
"Ri","I'm on it."
"Rm","On my way."
"R2","Taking it to them!"
"Ro","Objective complete."
"Rs","Surely you're joking."
"Ry","Hell yeah!"
"Rz","You're crazy."
"Rt","Ain't no thang."
"Rh","Hold your horses..."
"Rr","Roger."
"Re","Excuse me?"
"Rw","What, now?"
"Rb","I'm busy!!"
"Rg","Givin' it all she's got."
"Rx","What?!"
"Rv","Ready."
"Rj","I'd love to, but I'm podded."
"Rk","I dont think so!"
"Rl","I said no, and I mean it!"
"Rn","Let's just bug out and call it even, ok?"
"Rq","Look, I don't have time for this."
"Ru","Hey maybe you haven't been keeping up on current events..."
"R1","What the hell are we supposed to use man, harsh language?"
"Ta","Almost had you."
"Tc","Come back and fight."
"Td","Death becomes you."
"Tf","How did that feel?"
"Th","Oooh...looked like that hurt!"
"Ti","Someone slap the investor!"
"Tl","Like lambs to the slaughter."
"Tn","You have no honor."
"To","Oooh...sorry about that one."
"Tp","You want a piece of me?"
"Tr","Ripcord... last resort for the desperate."
"Ts","Someone shoot the commander."
"Tt","You died with dignity."
"Tv","You'll be sorry you did that"
"Ty","Yessssss!"
"Tm","Come on down!"
"Tz","How was zat?"
"Tk","Kiss my asteroid!"
"Tx","Sending you to death row!"
"Tw","How ya like me now?"
"Tb","That's the bomb, baby."
"Te","Easer than shooting fish in a barrel!"
"Tj","Ohh.. Yeah! Yeah!"
"Tq","Payload delivered!!"
"T1","You're good but not that good."
"T2","You're dogmeat pal!"
"T3","Did IQs just drop sharply while I was away?"
"T4","Now you see me, now you don't."
"T5","Ow, that's gonna leave a mark!"
"T6","Stop your grinnin' and drop your linen."
"T7","We will not tolerate this behavior."
"T8","Whoopee-fuckin'-do..hey I'm impressed!"
"Ya","Deeg, dag, dog!"
"Yb","Ba-bye."
"Yc","Inbound enemy bomber!"
"Yd","Dang!"
"Yf","I've found their base."
"Yg","Gunner ready."
"Yh","Hey, wassup?"
"Yi","I need rescue help!"
"Yk","I'm the King of the Hill!"
"Yl","Inbound enemy cap ship!"
"Ym","Nice work."
"Yn","Nooooo!"
"Yo","Ahhh Yeah!"
"Yp","Phewwww."
"Yr","Ripcording!"
"Ys","Sweet!"
"Yt","Thanks."
"Yu","Turrets attack my target!"
"Yv","Thanks for the lift!"
"Yw","Watch your fire."
"Yx","Doah"
"Yz","Awesome!"
"Yj","I missed!"
"Yq","Oooooooooaaaah!"
"Ye","Aaaaaahhhhhhh!"
"Yy","Read the chat!"
"Y1","That's it man...Game over man, game over!"
"Y2","It's gametime."
"Y3","Let's go people, they ain't paying us by the hour..."
"Y4","They ain't paying us enough for this man..."
"Ia","Is the aleph mined?"
"Im","The aleph is mined!"
"Id","The aleph is mined and droned!"
"Ih","How far is their base from the aleph?"
"Ii","It'll be a couple more minutes."
"Ie","They are pursuing expansion."
"Is","They are pursuing supremacy."
"It","They are pursuing tactical."
"Iy","They have a shipyard!"
"Io","They're pushing their op con!"
"Ip","Damn, I got podded."
"Iz","Danger!"
"Ic","He cloaked!"
"Ir","He ripped!"
"I1","Oh they see me..I've been spotted."
"I2","They don't see me."
"Lm","Meet me at the jump point."
"Lw","Form on my wing!"
"Lf","Follow me!"
"Lu","Hold up."
"Li","Wait for signal."
"Lg","Go Go Go!"
"Lr","Rush'em!"
"Lt","Stay together."
"Lo","Stay on target."
"Lb","Head back to base."
"Ls","Scout ahead for threats!"
"Lh","Get them off me!"
"Lq","I gotcha.  Hold still."
"L1","Nanites, launch and wait for bomber."
"L2","Nanites, ripcord in!"
"L3","Camp the aleph!"
